'y-axis saved as y
'x,216-1hr_Gd-Ru-Ge.xy,Ycalc,Diff
9.99786,1000,1015.32001,-15.3200087
10.00816,912,1014.31659,-102.31659
10.01847,905,1013.31351,-108.313507
10.02878,935,1012.31174,-77.3117363
10.03909,871,1011.31128,-140.311278
10.0494,896,1010.31213,-114.312133
10.0597,943,1009.31527,-66.3152683
10.07001,936,1008.31875,-72.3187496
10.08032,950,1007.32355,-57.3235457
10.09063,953,1006.32966,-53.3296571
10.10094,898,1005.33708,-107.337085
10.11124,936,1004.34679,-68.3467897
10.12155,970,1003.35685,-33.35685
10.13186,969,1002.36823,-33.3682283
10.14217,947,1001.38093,-54.3809254
10.15248,958,1000.39494,-42.3949419
10.16278,939,999.411233,-60.411233
10.17309,908,998.427889,-90.4278893
10.1834,897,997.445867,-100.445867
10.19371,874,996.465168,-122.465168
10.20401,927,995.48674,-68.4867405
10.21432,883,994.508687,-111.508687
10.22463,924,993.531958,-69.531958
10.23494,913,992.556555,-79.5565548
10.24525,960,991.582478,-31.5824781
10.25555,923,990.610672,-67.6106717
10.26586,883,989.639249,-106.639249
10.27617,942,988.669156,-46.6691563
10.28648,900,987.700393,-87.7003933
10.29679,913,986.732961,-73.7329613
10.30709,947,985.767798,-38.7677976
10.3174,927,984.803029,-57.8030293
10.32771,937,983.839595,-46.8395949
10.33802,948,982.877495,-34.8774954
10.34833,934,981.916732,-47.9167319
10.35863,910,980.958235,-70.9582354
10.36894,876,980.000146,-104.000146
10.37925,870,979.043395,-109.043395
10.38956,960,978.087985,-18.0879851
10.39986,896,977.134841,-81.134841
10.41017,890,976.182114,-86.1821135
10.42048,966,975.23073,-9.23072974
10.43079,977,974.280691,2.71930912
10.4411,875,973.331998,-98.3319981
10.4514,837,972.385571,-135.385571
10.46171,921,971.439573,-50.4395729
10.47202,876,970.494925,-94.4949246
10.48233,950,969.551628,-19.5516276
10.49264,916,968.609683,-52.6096831
10.50294,962,967.670004,-5.67000399
10.51325,956,966.730767,-10.7307672
10.52356,897,965.792887,-68.7928869
10.53387,837,964.856365,-127.856365
10.54418,903,963.921202,-60.9212019
10.55448,905,962.988305,-57.988305
10.56479,910,962.055864,-52.0558641
10.5751,877,961.124787,-84.1247872
10.58541,896,960.195076,-64.1950756
10.59571,949,959.267631,-10.2676308
10.60602,907,958.340653,-51.3406534
10.61633,914,957.415046,-43.4150463
10.62664,900,956.490811,-56.4908109
10.63695,903,955.567949,-52.5679491
10.64725,927,954.647356,-27.6473555
10.65756,842,953.727244,-111.727244
10.66787,803,952.808512,-149.808512
10.67818,905,951.89116,-46.89116
10.68849,853,950.97519,-97.9751902
10.69879,873,950.061491,-77.0614909
10.7091,849,949.14829,-100.14829
10.71941,885,948.236477,-63.2364767
10.72972,892,947.326053,-55.3260532
10.74003,936,946.417022,-10.4170215
10.75033,871,945.510263,-74.5102632
10.76064,929,944.60402,-15.6040197
10.77095,840,943.699174,-103.699174
10.78126,945,942.795728,2.20427185
10.79157,814,941.893684,-127.893684
10.80187,807,940.993918,-133.993918
10.81218,866,940.094683,-74.0946831
10.82249,893,939.196857,-46.1968571
10.8328,863,938.300442,-75.3004421
10.8431,821,937.406308,-116.406308
10.85341,905,936.51272,-31.5127198
10.86372,849,935.62055,-86.62055
10.87403,834,934.7298,-100.7298
10.88434,883,933.840474,-50.8404737
10.89464,888,932.953433,-44.9534327
10.90495,862,932.066958,-70.0669576
10.91526,861,931.181913,-70.1819128
10.92557,875,930.298301,-55.298301
10.93588,879,929.416125,-50.4161248
10.94618,918,928.53624,-10.5362404
10.95649,876,927.656942,-51.6569422
10.9668,896,926.779088,-30.7790878
10.97711,882,925.90268,-43.9026801
10.98742,840,925.027722,-85.0277219
10.99772,872,924.155063,-52.1550626
11.00803,858,923.283011,-65.2830109
11.01834,920,922.412418,-2.41241751
11.02865,903,921.543286,-18.5432856
11.03895,884,920.676459,-36.6764592
11.04926,938,919.810258,18.1897418
11.05957,879,918.945528,-39.9455282
11.06988,895,918.082272,-23.0822723
11.08019,879,917.220494,-38.220494
11.09049,836,916.36103,-80.3610302
11.1008,897,915.502216,-18.5022156
11.11111,851,914.644889,-63.6448887
11.12142,835,913.789053,-78.7890532
11.13173,833,912.934712,-79.9347125
11.14203,916,912.082697,3.91730333
11.15234,867,911.231355,-44.2313552
11.16265,858,910.38152,-52.3815197
11.17296,814,909.533194,-95.5331939
11.18327,863,908.686382,-45.6863818
11.19357,854,907.841906,-53.8419064
11.20388,854,906.998132,-52.998132
11.21419,871,906.155883,-35.1558832
11.2245,907,905.315164,1.68483572
11.2348,864,904.476792,-40.4767924
11.24511,881,903.639144,-22.6391442
11.25542,793,902.803039,-109.803039
11.26573,855,901.96848,-46.96848
11.27604,861,901.135473,-40.1354728
11.28634,855,900.304827,-45.3048273
11.29665,884,899.474935,-15.4749353
11.30696,819,898.646609,-79.6466087
11.31727,819,897.819852,-78.8198521
11.32758,838,896.994671,-58.9946706
11.33788,863,896.171867,-33.1718669
11.34819,859,895.349849,-36.3498487
11.3585,812,894.52942,-82.5294205
11.36881,863,893.710587,-30.7105874
11.37912,803,892.893355,-89.8933549
11.38942,843,892.078518,-49.0785184
11.39973,838,891.264501,-53.2645014
11.41004,878,890.452101,-12.4521012
11.42035,861,889.641323,-28.6413234
11.43066,830,888.832174,-58.8321737
11.44096,866,888.02544,-22.0254404
11.45127,858,887.219563,-29.219563
11.46158,840,886.415331,-46.4153315
11.47189,871,885.612752,-14.6127519
11.48219,916,884.812607,31.1873935
11.4925,815,884.013348,-69.0133481
11.50281,870,883.215761,-13.2157606
11.51312,811,882.419851,-71.4198505
11.52343,788,881.625625,-93.6256247
11.53373,875,880.833857,-5.83385747
11.54404,864,880.043019,-16.0430186
11.55435,850,879.253884,-29.2538845
11.56466,841,878.466462,-37.4664622
11.57497,840,877.680759,-37.6807591
11.58527,892,876.897542,15.1024581
11.59558,816,876.115298,-60.1152975
11.60589,832,875.334795,-43.3347947
11.6162,903,874.556041,28.4439588
11.62651,839,873.779045,-34.779045
11.63681,867,873.004565,-6.00456515
11.64712,823,872.231106,-49.2311059
